Air_temp,age,sex,thermalsensation,thermalsensationacceptability,thermalpreference,thermalcomfort,clo,met,relativehumidity,airvelocity,BMI,outdoormonthlyairtemperature
33.6,55,Female,1,1,no change,4,0.63,1.1,55.2,1.09,29.70839275,29.5
33.7,45,Male,0,1,no change,4,0.61,1.3,54.3,0.32,22.1718317,29.5
33.6,45,Male,2,1,no change,3,0.73,1.3,54.9,0.74,17.62639928,29.5
33.5,45,Male,2,0,no change,3,0.72,1.1,53.9,0.52,25.14644451,29.5
33.5,45,Male,2,0,no change,3,0.7,1.1,54.6,0.43,20.29209221,29.5
33.6,45,Female,2,1,no change,5,0.57,1.1,54.9,0.32,30.46875,29.5
33.6,45,Male,3,0,no change,5,0.79,1.1,54.2,0.44,29.34917112,29.5
33.5,55,Male,2,0,warmer,5,0.66,1.1,54.6,0.42,22.42810191,29.5
33.5,45,Male,3,0,cooler,3,0.64,1.1,54.1,0.28,32.04014559,29.5
33.4,45,Male,3,0,no change,4,0.72,1.6,53.6,1.05,24.9898459,29.5
33.6,35,Female,1,1,no change,5,0.42,1.1,51.6,0.49,20.96245906,29.5
33.6,45,Male,2,0,cooler,3,0.79,1.3,51.3,0.29,22.71884148,29.5
33.6,55,Male,2,1,cooler,6,0.79,1.1,51.5,0.72,24.21875,29.5
33.6,55,Male,2,1,no change,5,0.79,1.1,50.5,0.28,22.74560762,29.5
33.5,45,Male,1,1,no change,5,0.79,1.1,51.7,0.45,22.77555576,29.5
33.7,55,Male,3,0,cooler,5,0.79,1.1,47.7,0.47,22.71884148,29.5
33.8,45,Male,3,1,cooler,4,0.73,1.1,48,0.68,22.74560762,29.5
34.1,25,Female,1,0,cooler,3,0.64,1.3,46.5,0.4,20.96245906,29.5
34.2,35,Female,3,0,no change,4,0.57,1.1,47.2,0.58,33.34165485,29.5
34,45,Female,1,0,no change,3,0.48,1.1,47.6,0.72,27.55561067,29.5
34.6,45,Male,3,0,no change,4,0.58,1.1,47.2,1.3,25.71981439,29.5
34.4,25,Male,2,0,no change,4,0.64,1.1,48.3,1.08,25.14644451,29.5
34,45,Male,1,1,cooler,4,0.64,1.1,47.3,0.37,20.15621063,29.5
34,55,Male,3,0,no change,5,0.57,1.1,47.4,0.6,25.68052473,29.5
34.4,55,Male,1,1,warmer,4,0.79,1.1,45.4,0.4,29.68789052,29.5
34.8,45,Male,2,0,cooler,1,0.79,1.1,42.2,0.52,27.493446,29.5
34.1,55,Female,3,0,cooler,4,0.48,1.1,44.7,0.81,28.92744596,29.5
34.1,55,Male,3,0,cooler,4,0.79,1.1,42.2,0.31,22.57495591,29.5
34.4,55,Male,2,0,warmer,4,0.57,1.1,40.7,0.43,22.01187834,29.5
34.4,45,Male,2,0,cooler,5,0.64,1.6,40.9,0.51,22.79944302,29.5
34.8,45,Male,1,0,warmer,5,0.79,1.1,36.1,0.36,22.1718317,29.5
34.9,45,Male,1,1,cooler,4,0.73,1.1,36.3,0.35,20.24493845,29.5
34.7,45,Male,2,0,cooler,2,0.64,1.1,37.2,0.36,22.78410353,29.5
